stadium,team,league,postcode,lat,lon
Highbury Stadium,Fleetwood Town,EFL League Two,N5 1FG,51.55749,-0.10382
Priestfield Stadium,Gillingham,EFL League Two,ME7 4DD,51.38487,0.55976
Blundell Park,Grimsby Town,EFL League Two,DN35 7PZ,53.56968,-0.04538
Wetherby Road,Harrogate Town,EFL League Two,HG2 7SG,53.99075,-1.51256
Stadium MK,Milton Keynes Dons,EFL League Two,MK1 1ST,52.0108,-0.73486
Globe Arena,Morecambe,EFL League Two,LA4 4TB,54.06105,-2.86723
Rodney Parade,Newport County,EFL League Two,NP19 0UU,51.58958,-2.99125
Meadow Lane,Notts County,EFL League Two,NG2 3HJ,52.94224,-1.1361
Vale Park,Port Vale,EFL League Two,ST6 1AW,53.05041,-2.1917
Moor Lane,Salford City,EFL League Two,M7 3PZ,53.51374,-2.27835
County Ground,Swindon Town,EFL League Two,SN1 2ED,51.56479,-1.76993
Prenton Park,Tranmere Rovers,EFL League Two,CH42 9PY,53.37324,-3.03587
Bescot Stadium,Walsall,EFL League Two,WS1 4SA,52.56552,-1.99116
Mill Farm,AFC Fylde,National League,PR4 3JZ,53.79656,-2.88921
Recreation Ground,Aldershot Town,National League,GU11 1TW,51.24887,-0.75505
Moss Lane,Altrincham,National League,WA15 8AP,53.38298,-2.33521
The Hive Stadium,Barnet,National League,HA8 6AG,51.60152,-0.28887
York Street,Boston United,National League,PE21 6JN,52.97744,-0.01739
Cressing Road,Braintree,National League,CM7 3AL,51.87608,0.5724
Victoria Road,Dagenham & Redbridge,National League,RM10 7XL,51.54738,0.16209
Ten Acres,Eastleigh,National League,SO50 9HT,50.95128,-1.38252
Stonebridge Road,Ebbsfleet United,National League,DA11 9GN,51.44889,0.32266
The Shay,FC Halifax Town,National League,HX1 2YT,53.71606,-1.85832
The New Lawn,Forest Green Rovers,National League,GL6 0FG,51.69885,-2.23713
Gateshead International Stadium,Gateshead,National League,NE10 0EF,54.96091,-1.58092
Victoria Park,Hartlepool United,National League,TS24 8BZ,54.68805,-1.2137
York Road,Maidenhead,National League,SL6 1SF,51.52042,-0.71993
Boundary Park,Oldham Athletic,National League,OL1 2PA,53.55434,-2.12786
Spotland,Rochdale,National League,OL11 5DR,53.61912,-2.18001
Damson Park,Solihull Moors,National League,B92 9EJ,52.44314,-1.7617
Roots Hall,Southend United,National League,SS2 6NQ,51.54926,0.70207
Gander Green Lane,Sutton United,National League,SM1 2EY,51.3665,-0.20534
The Lamb Ground,Tamworth,National League,B77 1AA,52.62902,-1.68704
Grosvenor Vale,Wealdstone,National League,HA4 6JQ,51.56902,-0.41953
Kingfield Stadium,Woking,National League,GU22 9AA,51.30755,-0.55793
Huish Park,Yeovil Town,National League,BA22 8YF,50.95022,-2.67472
York Community Stadium,York City,National League,YO32 9AF,53.98435,-1.05178
